group_type,serve_number,surface,derived_period,validation_fold,classification_state,reason_code,attempts,matches,servers,returners,denominator_attempts,proportion_of_denominator
surface,0,Grass,ALL,ALL,ineligible_censored,censored_unreturned_serve,2762,327,188,202,197560,0.01398056286697712
derived_period,0,ALL,to_2009,ALL,documented_return_winner,immediate_return_winner,9581,1767,303,294,522483,0.018337438730063944
derived_period,0,ALL,to_2009,ALL,documented_return_forced_error,immediate_return_forced_error,5946,1285,238,258,522483,0.011380274573526795
derived_period,0,ALL,to_2009,ALL,documented_return_unforced_error,immediate_return_unforced_error_!,119,104,57,54,522483,0.0002277586065001158
derived_period,0,ALL,to_2009,ALL,documented_return_unforced_error,immediate_return_unforced_error_d,4869,1633,281,299,522483,0.00931896348780726
derived_period,0,ALL,to_2009,ALL,documented_return_unforced_error,immediate_return_unforced_error_e,3,3,3,3,522483,5.7418136092466166e-06
derived_period,0,ALL,to_2009,ALL,documented_return_unforced_error,immediate_return_unforced_error_n,5684,1677,296,293,522483,0.01087882285165259
derived_period,0,ALL,to_2009,ALL,documented_return_unforced_error,immediate_return_unforced_error_w,3136,1405,264,253,522483,0.006002109159532463
derived_period,0,ALL,to_2009,ALL,documented_return_unforced_error,immediate_return_unforced_error_x,592,478,142,151,522483,0.0011330512188913323
derived_period,0,ALL,to_2009,ALL,return_terminal_not_documented,challenge_after_local_return,7,7,5,6,522483,1.3397565088242105e-05
derived_period,0,ALL,to_2009,ALL,return_terminal_not_documented,local_return_without_terminal,13,13,9,12,522483,2.488119230673534e-05
derived_period,0,ALL,to_2009,ALL,return_terminal_not_documented,nonterminal_content_after_local_return,226085,1956,357,357,522483,0.4327126432821738
derived_period,0,ALL,to_2009,ALL,unknown_initial_return,ambiguous_initial_boundary,5021,454,142,136,522483,0.009609882044009088
derived_period,0,ALL,to_2009,ALL,unknown_initial_return,inconsistent_parse_result,0,0,0,0,522483,0.0
derived_period,0,ALL,to_2009,ALL,unknown_initial_return,missing_service_prefix,716,367,97,109,522483,0.0013703795147401924
derived_period,0,ALL,to_2009,ALL,unknown_initial_return,terminal_with_trailing_content,2,2,2,1,522483,3.827875739497744e-06
derived_period,0,ALL,to_2009,ALL,unknown_initial_return,truncated_return_event,0,0,0,0,522483,0.0
derived_period,0,ALL,to_2009,ALL,unknown_initial_return,unsupported_error_terminal_form,51760,1948,357,357,522483,0.09906542413820163
derived_period,0,ALL,to_2009,ALL,unknown_initial_return,unsupported_initial_modifier,9,7,7,8,522483,1.722544082773985e-05
derived_period,0,ALL,to_2009,ALL,unknown_initial_return,unsupported_local_component_order,10998,1718,305,282,522483,0.021049488691498097
derived_period,0,ALL,to_2009,ALL,ineligible_censored,censored_ace,27730,1917,327,348,522483,0.05307349712813623
derived_period,0,ALL,to_2009,ALL,ineligible_censored,censored_double_fault,12698,1916,344,331,522483,0.02430318307007118
derived_period,0,ALL,to_2009,ALL,ineligible_censored,censored_incomplete_let,0,0,0,0,522483,0.0
derived_period,0,ALL,to_2009,ALL,ineligible_censored,censored_service_fault,142999,1954,357,357,522483,0.273691201436219
derived_period,0,ALL,to_2009,ALL,ineligible_censored,censored_special_event,11312,819,238,239,522483,0.021650465182599242
derived_period,0,ALL,to_2009,ALL,ineligible_censored,censored_unreturned_serve,3203,647,176,201,522483,0.006130342996805638
derived_period,0,ALL,2010s,ALL,documented_return_winner,immediate_return_winner,4736,1755,319,305,490667,0.009652167355864568
derived_period,0,ALL,2010s,ALL,documented_return_forced_error,immediate_return_forced_error,7330,1296,315,316,490667,0.01493884854697789
derived_period,0,ALL,2010s,ALL,documented_return_unforced_error,immediate_return_unforced_error_!,200,172,101,98,490667,0.00040760841874428074
derived_period,0,ALL,2010s,ALL,documented_return_unforced_error,immediate_return_unforced_error_d,5192,1714,331,327,490667,0.010581514550601528
derived_period,0,ALL,2010s,ALL,documented_return_unforced_error,immediate_return_unforced_error_e,5,5,5,5,490667,1.0190210468607019e-05
derived_period,0,ALL,2010s,ALL,documented_return_unforced_error,immediate_return_unforced_error_n,4687,1717,323,327,490667,0.009552303293272219
derived_period,0,ALL,2010s,ALL,documented_return_unforced_error,immediate_return_unforced_error_w,2582,1312,279,279,490667,0.0052622246859886646
derived_period,0,ALL,2010s,ALL,documented_return_unforced_error,immediate_return_unforced_error_x,462,388,132,137,490667,0.0009415754472992885
derived_period,0,ALL,2010s,ALL,return_terminal_not_documented,challenge_after_local_return,31,30,25,25,490667,6.317930490536352e-05
derived_period,0,ALL,2010s,ALL,return_terminal_not_documented,local_return_without_terminal,13,12,11,13,490667,2.6494547218378247e-05
derived_period,0,ALL,2010s,ALL,return_terminal_not_documented,nonterminal_content_after_local_return,226125,2216,412,411,490667,0.4608522684427524
derived_period,0,ALL,2010s,ALL,unknown_initial_return,ambiguous_initial_boundary,4048,660,176,185,490667,0.008249994395384243
derived_period,0,ALL,2010s,ALL,unknown_initial_return,inconsistent_parse_result,0,0,0,0,490667,0.0
derived_period,0,ALL,2010s,ALL,unknown_initial_return,missing_service_prefix,407,150,87,91,490667,0.0008294831321446113
derived_period,0,ALL,2010s,ALL,unknown_initial_return,terminal_with_trailing_content,25,5,7,6,490667,5.095105234303509e-05
derived_period,0,ALL,2010s,ALL,unknown_initial_return,truncated_return_event,0,0,0,0,490667,0.0
