column,dimension,group_value,total_rows,null_count,null_proportion,empty_count,empty_proportion,whitespace_only_count,whitespace_only_proportion,substantive_count,substantive_proportion,non_null_count,raw_length_min,raw_length_mean,raw_length_p25,raw_length_median,raw_length_p75,raw_length_p90,raw_length_p95,raw_length_p99,raw_length_max,trimmed_length_min,trimmed_length_mean,trimmed_length_p25,trimmed_length_median,trimmed_length_p75,trimmed_length_p90,trimmed_length_p95,trimmed_length_p99,trimmed_length_max
first_serve,derived_period,2010s,356930,0,0.0,0,0.0,0,0.0,356930,1.0,356930,1,7.239007648558541,2.0,5.0,10.0,17.0,23.0,37.0,173,1,7.238777911635335,2.0,5.0,10.0,17.0,23.0,37.0,173
first_serve,derived_period,2020s,546994,0,0.0,0,0.0,0,0.0,546994,1.0,546994,1,7.593225885475892,2.0,4.0,10.0,18.0,24.0,41.0,179,1,7.592918752308069,2.0,4.0,10.0,18.0,24.0,41.0,179
second_serve,overall,all,1280408,798865,0.6239144085322803,0,0.0,35,2.7335036956969967e-05,481508,0.3760582564307627,481543,1,12.702103446628858,6.0,10.0,16.0,25.0,32.0,48.0,210,0,12.701974693848731,6.0,10.0,16.0,25.0,32.0,48.0,210
second_serve,surface,Hard,801089,496467,0.6197401287497394,0,0.0,21,2.6214315762668068e-05,304601,0.3802336569344979,304622,1,12.787723801957837,6.0,10.0,17.0,25.0,32.0,48.0,210,0,12.787648298547051,6.0,10.0,17.0,25.0,32.0,48.0,210
second_serve,surface,Clay,311240,195805,0.6291125819303431,0,0.0,9,2.891659169772523e-05,115426,0.3708585014779591,115435,1,13.49139342487114,7.0,11.0,18.0,26.0,33.0,48.0,136,0,13.491185515658163,7.0,11.0,18.0,26.0,33.0,48.0,136
second_serve,surface,Grass,168079,106593,0.6341839254160246,0,0.0,5,2.97479161584731e-05,61481,0.3657863266678169,61486,1,10.796083661321276,6.0,9.0,14.0,20.0,26.0,39.0,105,0,10.795839703347104,6.0,9.0,14.0,20.0,26.0,39.0,105
second_serve,year,1960,539,417,0.7736549165120594,0,0.0,0,0.0,122,0.22634508348794063,122,2,12.352459016393443,8.0,11.0,15.0,19.900000000000006,25.849999999999966,31.789999999999992,41,2,12.352459016393443,8.0,11.0,15.0,19.900000000000006,25.849999999999966,31.789999999999992,41
second_serve,year,1969,718,416,0.5793871866295265,0,0.0,0,0.0,302,0.4206128133704735,302,2,8.993377483443709,6.0,9.0,11.0,13.0,16.0,22.99000000000001,27,2,8.993377483443709,6.0,9.0,11.0,13.0,16.0,22.99000000000001,27
second_serve,year,1970,301,174,0.5780730897009967,0,0.0,0,0.0,127,0.4219269102990033,127,2,9.078740157480315,6.0,8.0,12.0,14.0,17.0,26.47999999999999,29,2,9.078740157480315,6.0,8.0,12.0,14.0,17.0,26.47999999999999,29
second_serve,year,1971,505,339,0.6712871287128713,0,0.0,0,0.0,166,0.3287128712871287,166,1,8.331325301204819,6.0,9.0,11.0,13.5,14.0,17.74999999999997,25,1,8.331325301204819,6.0,9.0,11.0,13.5,14.0,17.74999999999997,25
