server_player,surface,derived_period,direction_code,direction_label,tactically_actionable,points,matches,server_wins,server_win_rate,first_date,last_date
Andrei Medvedev,Hard,to_2009,5,body,True,39,5,18,0.46153846153846156,1992-11-03,2000-03-14
Andrei Medvedev,Hard,to_2009,6,t,True,39,5,21,0.5384615384615384,1992-11-03,2000-03-14
Andrei Medvedev,Clay,to_2009,4,wide,True,99,6,54,0.5454545454545454,1993-06-03,1999-06-06
Andrei Medvedev,Clay,to_2009,5,body,True,66,6,35,0.5303030303030303,1993-06-03,1999-06-06
Andrei Medvedev,Clay,to_2009,6,t,True,56,6,26,0.4642857142857143,1993-06-03,1999-06-06
Andrei Pavel,Hard,to_2009,4,wide,True,100,7,50,0.5,2000-10-24,2006-08-28
Andrei Pavel,Hard,to_2009,5,body,True,73,7,38,0.5205479452054794,2000-10-24,2006-08-28
Andrei Pavel,Hard,to_2009,6,t,True,61,7,28,0.45901639344262296,2000-10-24,2006-08-28
Andrei Pavel,Clay,to_2009,4,wide,True,6,1,4,0.6666666666666666,2002-05-15,2002-05-15
Andrei Pavel,Clay,to_2009,5,body,True,3,1,0,0.0,2002-05-15,2002-05-15
Andrei Pavel,Clay,to_2009,6,t,True,6,1,3,0.5,2002-05-15,2002-05-15
Andrei Pavel,Grass,to_2009,4,wide,True,5,1,2,0.4,1999-06-20,1999-06-20
Andrei Pavel,Grass,to_2009,5,body,True,14,1,7,0.5,1999-06-20,1999-06-20
Andrei Pavel,Grass,to_2009,6,t,True,5,1,3,0.6,1999-06-20,1999-06-20
Andrei Stoliarov,Hard,to_2009,4,wide,True,15,1,10,0.6666666666666666,2003-01-01,2003-01-01
Andrei Stoliarov,Hard,to_2009,5,body,True,15,1,8,0.5333333333333333,2003-01-01,2003-01-01
Andrei Stoliarov,Hard,to_2009,6,t,True,12,1,8,0.6666666666666666,2003-01-01,2003-01-01
Andrej Martin,Hard,2020s,4,wide,True,15,1,6,0.4,2022-01-10,2022-01-10
Andrej Martin,Hard,2020s,5,body,True,8,1,4,0.5,2022-01-10,2022-01-10
Andrej Martin,Hard,2020s,6,t,True,20,1,7,0.35,2022-01-10,2022-01-10
Andrej Martin,Clay,2020s,4,wide,True,14,2,7,0.5,2021-07-22,2025-02-17
Andrej Martin,Clay,2020s,5,body,True,4,1,3,0.75,2025-02-17,2025-02-17
Andrej Martin,Clay,2020s,6,t,True,8,2,3,0.375,2021-07-22,2025-02-17
Andres Artunedo,Clay,2010s,4,wide,True,7,1,1,0.14285714285714285,2012-08-06,2012-08-06
Andres Artunedo,Clay,2010s,5,body,True,8,1,2,0.25,2012-08-06,2012-08-06
Andres Gomez,Hard,to_2009,4,wide,True,27,2,9,0.3333333333333333,1990-02-25,1990-08-11
Andres Gomez,Hard,to_2009,5,body,True,12,2,6,0.5,1990-02-25,1990-08-11
Andres Gomez,Hard,to_2009,6,t,True,26,2,12,0.46153846153846156,1990-02-25,1990-08-11
Andres Gomez,Clay,to_2009,4,wide,True,127,5,67,0.5275590551181102,1987-06-03,1990-06-10
Andres Gomez,Clay,to_2009,5,body,True,29,5,16,0.5517241379310345,1987-06-03,1990-06-10
Andres Gomez,Clay,to_2009,6,t,True,64,5,27,0.421875,1987-06-03,1990-06-10
Andrew Castle,Hard,to_2009,4,wide,True,18,1,7,0.3888888888888889,1987-09-03,1987-09-03
Andrew Castle,Hard,to_2009,5,body,True,17,1,8,0.47058823529411764,1987-09-03,1987-09-03
Andrew Castle,Hard,to_2009,6,t,True,18,1,5,0.2777777777777778,1987-09-03,1987-09-03
Andrew Foster,Grass,to_2009,4,wide,True,9,1,7,0.7777777777777778,1993-06-28,1993-06-28
Andrew Foster,Grass,to_2009,5,body,True,24,1,11,0.4583333333333333,1993-06-28,1993-06-28
Andrew Foster,Grass,to_2009,6,t,True,6,1,3,0.5,1993-06-28,1993-06-28
Andrew Harris,Hard,2010s,4,wide,True,11,1,4,0.36363636363636365,2019-02-10,2019-02-10
