fold,surface,rank,direction,comparison_scope,explanation_code,orientations,share_within_rank_direction,mean_server_component,mean_opponent_component,mean_absolute_component_difference
2023,<ALL>,2,wide,global,evidence_threshold_just_met,2,0.043478260869565216,0.4722222222222222,0.48725641702489186,0.0484264990928068
2023,<ALL>,2,wide,global,global_fallback_used,46,1.0,0.505619421701428,0.5061411383832586,0.04349428876579119
2023,<ALL>,2,wide,global,narrow_score_margin,15,0.32608695652173914,0.5101331100619089,0.5158887957559215,0.049719331399725036
2023,<ALL>,2,wide,global,opponent_component_higher,19,0.41304347826086957,0.46985628672735796,0.5231388196376368,0.05328253291027883
2023,<ALL>,2,wide,global,recommendation_available,46,1.0,0.505619421701428,0.5061411383832586,0.04349428876579119
2023,<ALL>,2,wide,global,server_component_higher,27,0.5869565217391305,0.530786072238737,0.4941798071301778,0.03660626510855916
2023,<ALL>,2,body,global,evidence_above_threshold,51,0.9622641509433962,0.5069364408210915,0.5058514007866228,0.025854163710393518
2023,<ALL>,2,body,global,evidence_threshold_just_met,2,0.03773584905660377,0.47580645161290325,0.4625149473727326,0.03916452971980508
2023,<ALL>,2,body,global,global_fallback_used,53,1.0,0.5057617242471976,0.5042160629219479,0.026356441673012813
2023,<ALL>,2,body,global,narrow_score_margin,14,0.2641509433962264,0.5171258728613897,0.5179611667138709,0.03449742774739339
2023,<ALL>,2,body,global,opponent_component_higher,22,0.41509433962264153,0.5019378016567738,0.5318235143483974,0.02988571269162359
2023,<ALL>,2,body,global,recommendation_available,53,1.0,0.5057617242471976,0.5042160629219479,0.026356441673012813
2023,<ALL>,2,body,global,server_component_higher,31,0.5849056603773585,0.5084754757629824,0.48462367803866097,0.02385179772432129
2023,<ALL>,2,T,global,evidence_above_threshold,62,0.9538461538461539,0.5076075467013081,0.5139199288638787,0.043034591273753836
2023,<ALL>,2,T,global,evidence_threshold_just_met,3,0.046153846153846156,0.5062645447830633,0.44380253121161045,0.07788316794869671
2023,<ALL>,2,T,global,global_fallback_used,65,1.0,0.5075455619973891,0.5106837412799278,0.04464298712028966
2023,<ALL>,2,T,global,narrow_score_margin,21,0.3230769230769231,0.5194067998369515,0.511258133648421,0.042201198362477294
2023,<ALL>,2,T,global,opponent_component_higher,31,0.47692307692307695,0.48629066865072756,0.5363838269762735,0.05009315832554582
2023,<ALL>,2,T,global,recommendation_available,65,1.0,0.5075455619973891,0.5106837412799278,0.04464298712028966
2023,<ALL>,2,T,global,server_component_higher,34,0.5230769230769231,0.5269250235781686,0.4872513102038479,0.039673713374320824
2023,<ALL>,3,wide,surface,evidence_above_threshold,124,0.96875,0.49101743963741623,0.4808901493399819,0.05054645370799484
2023,<ALL>,3,wide,surface,evidence_threshold_just_met,4,0.03125,0.4585178760845464,0.47192981373897924,0.07779875146030164
2023,<ALL>,3,wide,surface,narrow_score_margin,6,0.046875,0.5279462273859453,0.48635568364328846,0.06547044181309102
2023,<ALL>,3,wide,surface,opponent_component_higher,52,0.40625,0.4539673305747188,0.5056675134532616,0.051700182878542694
2023,<ALL>,3,wide,surface,recommendation_available,128,1.0,0.49000182827638905,0.4806101388524506,0.05139808801275442
2023,<ALL>,3,wide,surface,server_component_higher,76,0.59375,0.514657010914374,0.4634656193887378,0.051191391525636114
2023,<ALL>,3,wide,surface,surface_history_used,128,1.0,0.49000182827638905,0.4806101388524506,0.05139808801275442
2023,<ALL>,3,body,surface,evidence_above_threshold,220,0.990990990990991,0.4973378353034784,0.48137636243182286,0.04516635481815843
2023,<ALL>,3,body,surface,evidence_threshold_just_met,2,0.009009009009009009,0.47943722943722944,0.4837298331966092,0.11430577898994634
2023,<ALL>,3,body,surface,narrow_score_margin,18,0.08108108108108109,0.5201556858370959,0.4799715615801376,0.04735411241417736
2023,<ALL>,3,body,surface,opponent_component_higher,87,0.3918918918918919,0.47258483862817985,0.5108737512358192,0.038288912607639454
2023,<ALL>,3,body,surface,recommendation_available,222,1.0,0.4971765685839626,0.4813975648711452,0.04578923251339976
2023,<ALL>,3,body,surface,server_component_higher,135,0.6081081081081081,0.5130245723332449,0.4624018003250219,0.05062277200822306
2023,<ALL>,3,body,surface,surface_history_used,222,1.0,0.4971765685839626,0.4813975648711452,0.04578923251339976
2023,<ALL>,3,T,surface,evidence_above_threshold,319,0.9906832298136646,0.48744227734553025,0.4814284573536543,0.04623057770313298
2023,<ALL>,3,T,surface,evidence_threshold_just_met,3,0.009316770186335404,0.4569187261243946,0.46332858881531447,0.06166997829785633
2023,<ALL>,3,T,surface,narrow_score_margin,18,0.055900621118012424,0.5010952765428311,0.4833019264006192,0.04058125044236793
2023,<ALL>,3,T,surface,opponent_component_higher,158,0.4906832298136646,0.4644240013848421,0.5056688913622388,0.04124488997739655
2023,<ALL>,3,T,surface,recommendation_available,322,1.0,0.487157896433532,0.4812598250380796,0.04637442305028878
2023,<ALL>,3,T,surface,server_component_higher,164,0.5093167701863354,0.509060063614587,0.45774377333553623,0.0513162902790508
2023,<ALL>,3,T,surface,surface_history_used,322,1.0,0.487157896433532,0.4812598250380796,0.04637442305028878
2023,<ALL>,3,wide,global,evidence_above_threshold,24,0.9230769230769231,0.5029698722627117,0.4770855654977197,0.05584607668773756
2023,<ALL>,3,wide,global,evidence_threshold_just_met,2,0.07692307692307693,0.45682610434881993,0.4455281952883488,0.10960972633951782
2023,<ALL>,3,wide,global,global_fallback_used,26,1.0,0.49942035165395093,0.4746580754816142,0.05998174204556682
2023,<ALL>,3,wide,global,narrow_score_margin,3,0.11538461538461539,0.502590255786926,0.49001219087425985,0.0467653694307682
2023,<ALL>,3,wide,global,opponent_component_higher,11,0.4230769230769231,0.46171162960526196,0.5033346347281702,0.04162300512290829
2023,<ALL>,3,wide,global,recommendation_available,26,1.0,0.49942035165395093,0.4746580754816142,0.05998174204556682
2023,<ALL>,3,wide,global,server_component_higher,15,0.5769230769230769,0.5270734144896563,0.45362859870080646,0.07344481578884972
2023,<ALL>,3,body,global,evidence_above_threshold,61,0.9682539682539683,0.4799831802483618,0.49333954699009336,0.05362576467229534
2023,<ALL>,3,body,global,evidence_threshold_just_met,2,0.031746031746031744,0.4385672746497489,0.4790451576851884,0.04047788303543953
2023,<ALL>,3,body,global,global_fallback_used,63,1.0,0.4786683895944376,0.4928857568534297,0.05320837160445864
2023,<ALL>,3,body,global,narrow_score_margin,4,0.06349206349206349,0.499809974406382,0.49606552594604314,0.01968517230721402
2023,<ALL>,3,body,global,opponent_component_higher,36,0.5714285714285714,0.4531106591419284,0.5121081806474479,0.058997521505519485
2023,<ALL>,3,body,global,recommendation_available,63,1.0,0.4786683895944376,0.4928857568534297,0.05320837160445864
2023,<ALL>,3,body,global,server_component_higher,27,0.42857142857142855,0.5127453635311162,0.46725585846140555,0.04548950506971085
2023,<ALL>,3,T,global,evidence_above_threshold,72,0.96,0.4743043806278264,0.48264504837425626,0.03475064381158991
2023,<ALL>,3,T,global,evidence_threshold_just_met,3,0.04,0.4669434158534976,0.45537177531648815,0.03781376666856131
2023,<ALL>,3,T,global,global_fallback_used,75,1.0,0.47400994203685326,0.48155411745194554,0.03487316872586878
2023,<ALL>,3,T,global,narrow_score_margin,5,0.06666666666666667,0.495317172016705,0.4819176624716069,0.01339950954509811
2023,<ALL>,3,T,global,opponent_component_higher,43,0.5733333333333334,0.4573455877877149,0.49433745767808784,0.03699186989037293
2023,<ALL>,3,T,global,recommendation_available,75,1.0,0.47400994203685326,0.48155411745194554,0.03487316872586878
2023,<ALL>,3,T,global,server_component_higher,32,0.4266666666666667,0.496402668059133,0.46437650402306674,0.0320261640360663
2023,Hard,1,wide,surface,balanced_components,1,0.0030864197530864196,0.5,0.5,0.0
2023,Hard,1,wide,surface,evidence_above_threshold,322,0.9938271604938271,0.5376952582234942,0.5164879944714504,0.04588240723121886
