scope,metric,threshold,stratum_type,stratum,eligible_snapshots,total_snapshots,coverage_rate,complete_matches,total_matches,complete_match_rate,covered_players
opponent_return_global,historical_matches,20,derived_period,to_2009,2045,3912,0.5227505112474438,504,1956,0.25766871165644173,271
opponent_return_global,historical_matches,20,derived_period,2010s,2376,4464,0.532258064516129,709,2232,0.31765232974910396,239
opponent_return_global,historical_matches,20,derived_period,2020s,4428,6672,0.6636690647482014,1578,3336,0.47302158273381295,309
opponent_return_global,historical_matches,50,overall,Overall,5737,15048,0.3812466772993089,1132,7524,0.15045188729399256,545
opponent_return_global,historical_matches,50,surface,Hard,3874,9646,0.40161725067385445,791,4823,0.16400580551523947,450
opponent_return_global,historical_matches,50,surface,Clay,1217,3744,0.3250534188034188,226,1872,0.12072649572649573,291
opponent_return_global,historical_matches,50,surface,Grass,646,1658,0.3896260554885404,115,829,0.13872135102533173,236
opponent_return_global,historical_matches,50,derived_period,to_2009,1257,3912,0.32131901840490795,153,1956,0.07822085889570553,229
opponent_return_global,historical_matches,50,derived_period,2010s,1518,4464,0.3400537634408602,279,2232,0.125,188
opponent_return_global,historical_matches,50,derived_period,2020s,2962,6672,0.44394484412470026,700,3336,0.20983213429256595,262
opponent_return_global,historical_points,0,overall,Overall,15048,15048,1.0,7524,7524,1.0,1002
opponent_return_global,historical_points,0,surface,Hard,9646,9646,1.0,4823,4823,1.0,753
opponent_return_global,historical_points,0,surface,Clay,3744,3744,1.0,1872,1872,1.0,587
opponent_return_global,historical_points,0,surface,Grass,1658,1658,1.0,829,829,1.0,359
opponent_return_global,historical_points,0,derived_period,to_2009,3912,3912,1.0,1956,1956,1.0,357
opponent_return_global,historical_points,0,derived_period,2010s,4464,4464,1.0,2232,2232,1.0,412
opponent_return_global,historical_points,0,derived_period,2020s,6672,6672,1.0,3336,3336,1.0,470
opponent_return_global,historical_points,25,overall,Overall,13793,15048,0.9166002126528442,6439,7524,0.8557947900053163,856
opponent_return_global,historical_points,25,surface,Hard,8961,9646,0.9289861082313913,4232,4823,0.8774621604810284,655
opponent_return_global,historical_points,25,surface,Clay,3312,3744,0.8846153846153846,1506,1872,0.8044871794871795,510
opponent_return_global,historical_points,25,surface,Grass,1520,1658,0.916767189384801,701,829,0.8455971049457177,338
opponent_return_global,historical_points,25,derived_period,to_2009,3509,3912,0.8969836400817995,1576,1956,0.8057259713701431,339
opponent_return_global,historical_points,25,derived_period,2010s,3987,4464,0.8931451612903226,1837,2232,0.8230286738351255,331
opponent_return_global,historical_points,25,derived_period,2020s,6297,6672,0.9437949640287769,3026,3336,0.907074340527578,408
opponent_return_global,historical_points,50,overall,Overall,13359,15048,0.8877591706539075,6085,7524,0.8087453482190324,822
opponent_return_global,historical_points,50,surface,Hard,8721,9646,0.9041053286336305,4030,4823,0.8355795148247979,633
opponent_return_global,historical_points,50,surface,Clay,3165,3744,0.8453525641025641,1392,1872,0.7435897435897436,491
opponent_return_global,historical_points,50,surface,Grass,1473,1658,0.8884197828709288,663,829,0.7997587454764777,329
opponent_return_global,historical_points,50,derived_period,to_2009,3391,3912,0.8668200408997955,1468,1956,0.7505112474437627,334
opponent_return_global,historical_points,50,derived_period,2010s,3823,4464,0.8564068100358423,1708,2232,0.7652329749103942,314
opponent_return_global,historical_points,50,derived_period,2020s,6145,6672,0.9210131894484412,2909,3336,0.8720023980815348,392
opponent_return_global,historical_points,100,overall,Overall,12681,15048,0.8427033492822966,5539,7524,0.7361775651249336,779
opponent_return_global,historical_points,100,surface,Hard,8335,9646,0.864088741447232,3708,4823,0.7688160895708066,610
