dimension,direction,surface,derived_period,immediate_outcome,points,matches,servers,server_wins,server_win_rate
surface_derived_period,wide,Clay,2020s,continuation_or_other,20658,452,203,13526,0.6547584470907155
surface_derived_period,wide,Grass,to_2009,ace,2179,268,124,2179,1.0
surface_derived_period,wide,Grass,to_2009,unreturned,393,122,72,393,1.0
surface_derived_period,wide,Grass,to_2009,fault,11087,299,149,5837,0.5264724452060973
surface_derived_period,wide,Grass,to_2009,continuation_or_other,15226,301,150,10791,0.7087219230264022
surface_derived_period,wide,Grass,2010s,ace,1928,229,110,1928,1.0
surface_derived_period,wide,Grass,2010s,unreturned,218,76,49,218,1.0
surface_derived_period,wide,Grass,2010s,fault,7032,232,122,3756,0.5341296928327645
surface_derived_period,wide,Grass,2010s,continuation_or_other,11781,234,122,8355,0.7091927680162974
surface_derived_period,wide,Grass,2020s,ace,1383,169,94,1383,1.0
surface_derived_period,wide,Grass,2020s,unreturned,395,82,61,395,1.0
surface_derived_period,wide,Grass,2020s,fault,5520,170,107,2879,0.5215579710144927
surface_derived_period,wide,Grass,2020s,continuation_or_other,7963,170,107,5594,0.7024990581439156
surface_derived_period,body,Hard,to_2009,ace,35,34,23,35,1.0
surface_derived_period,body,Hard,to_2009,unreturned,90,65,44,90,1.0
surface_derived_period,body,Hard,to_2009,fault,5722,1092,221,2926,0.5113596644529884
surface_derived_period,body,Hard,to_2009,continuation_or_other,14592,1240,234,9281,0.6360334429824561
surface_derived_period,body,Hard,2010s,ace,42,36,30,42,1.0
surface_derived_period,body,Hard,2010s,unreturned,147,116,59,147,1.0
surface_derived_period,body,Hard,2010s,fault,6362,1267,302,3190,0.5014146494812952
surface_derived_period,body,Hard,2010s,continuation_or_other,15793,1387,317,9910,0.6274931931868549
surface_derived_period,body,Hard,2020s,ace,14,14,12,14,1.0
surface_derived_period,body,Hard,2020s,unreturned,194,135,73,194,1.0
surface_derived_period,body,Hard,2020s,fault,4670,1026,244,2331,0.49914346895074946
surface_derived_period,body,Hard,2020s,continuation_or_other,12779,1147,264,7991,0.6253227952108928
surface_derived_period,body,Clay,to_2009,ace,6,6,5,6,1.0
surface_derived_period,body,Clay,to_2009,unreturned,22,18,18,22,1.0
surface_derived_period,body,Clay,to_2009,fault,2413,359,159,1187,0.49191877331123085
surface_derived_period,body,Clay,to_2009,continuation_or_other,6236,398,178,3802,0.6096856959589481
surface_derived_period,body,Clay,2010s,ace,8,8,7,8,1.0
surface_derived_period,body,Clay,2010s,unreturned,57,42,32,57,1.0
surface_derived_period,body,Clay,2010s,fault,2717,541,209,1364,0.5020242914979757
surface_derived_period,body,Clay,2010s,continuation_or_other,6941,573,230,4295,0.6187869183114825
surface_derived_period,body,Clay,2020s,ace,4,4,3,4,1.0
surface_derived_period,body,Clay,2020s,unreturned,64,43,32,64,1.0
surface_derived_period,body,Clay,2020s,fault,2012,397,191,1014,0.5039761431411531
surface_derived_period,body,Clay,2020s,continuation_or_other,5616,438,200,3385,0.6027421652421653
surface_derived_period,body,Grass,to_2009,ace,19,19,14,19,1.0
surface_derived_period,body,Grass,to_2009,unreturned,86,52,36,86,1.0
surface_derived_period,body,Grass,to_2009,fault,1606,262,134,850,0.5292652552926526
surface_derived_period,body,Grass,to_2009,continuation_or_other,4712,298,148,3059,0.6491935483870968
surface_derived_period,body,Grass,2010s,ace,15,14,13,15,1.0
surface_derived_period,body,Grass,2010s,unreturned,28,20,18,28,1.0
surface_derived_period,body,Grass,2010s,fault,927,210,111,467,0.5037756202804746
