profile_id,return_shot_type_code,return_shot_type_description,return_shot_type_family,return_lateral_direction_code,return_lateral_direction_description,return_depth_code,return_depth_description,complete_profile_attempts,share_of_complete_profiles,share_of_all_attempts
m|3|7,m,globo de revés,lob,3,left_side_of_right_handed_opponent_or_right_of_left_handed,7,service_boxes,139,0.00023118656922457696,9.741650039281977e-05
m|3|8,m,globo de revés,lob,3,left_side_of_right_handed_opponent_or_right_of_left_handed,8,behind_service_line_closer_to_service_line,113,0.00018794303829048343,7.919470895243621e-05
m|3|9,m,globo de revés,lob,3,left_side_of_right_handed_opponent_or_right_of_left_handed,9,closer_to_baseline,96,0.0001596684219104992,6.728046070295466e-05
h|1|7,h,media volea de derecha,half_volley,1,right_side_of_right_handed_opponent_or_left_of_left_handed,7,service_boxes,0,0.0,0.0
h|1|8,h,media volea de derecha,half_volley,1,right_side_of_right_handed_opponent_or_left_of_left_handed,8,behind_service_line_closer_to_service_line,0,0.0,0.0
h|1|9,h,media volea de derecha,half_volley,1,right_side_of_right_handed_opponent_or_left_of_left_handed,9,closer_to_baseline,0,0.0,0.0
h|2|7,h,media volea de derecha,half_volley,2,centre,7,service_boxes,0,0.0,0.0
h|2|8,h,media volea de derecha,half_volley,2,centre,8,behind_service_line_closer_to_service_line,0,0.0,0.0
h|2|9,h,media volea de derecha,half_volley,2,centre,9,closer_to_baseline,1,1.6632127282343666e-06,7.008381323224444e-07
h|3|7,h,media volea de derecha,half_volley,3,left_side_of_right_handed_opponent_or_right_of_left_handed,7,service_boxes,0,0.0,0.0
h|3|8,h,media volea de derecha,half_volley,3,left_side_of_right_handed_opponent_or_right_of_left_handed,8,behind_service_line_closer_to_service_line,0,0.0,0.0
h|3|9,h,media volea de derecha,half_volley,3,left_side_of_right_handed_opponent_or_right_of_left_handed,9,closer_to_baseline,0,0.0,0.0
i|1|7,i,media volea de revés,half_volley,1,right_side_of_right_handed_opponent_or_left_of_left_handed,7,service_boxes,0,0.0,0.0
i|1|8,i,media volea de revés,half_volley,1,right_side_of_right_handed_opponent_or_left_of_left_handed,8,behind_service_line_closer_to_service_line,0,0.0,0.0
