scope,direction,metric,threshold,stratum_type,stratum,eligible_rows,total_rows,coverage_rate,complete_matches,total_matches,complete_match_rate,covered_players
server_global,T,direction_points,25,derived_period,2020s,5937,6672,0.8898381294964028,2742,3336,0.8219424460431655,242
server_global,T,direction_points,50,overall,Overall,11738,15048,0.7800372142477405,4816,7524,0.6400850611376927,305
server_global,T,direction_points,50,surface,Hard,7771,9646,0.8056189093924943,3258,4823,0.6755131660792039,290
server_global,T,direction_points,50,surface,Clay,2658,3744,0.7099358974358975,1029,1872,0.5496794871794872,231
server_global,T,direction_points,50,surface,Grass,1309,1658,0.7895054282267793,529,829,0.638118214716526,195
server_global,T,direction_points,50,derived_period,to_2009,2915,3912,0.7451431492842536,1083,1956,0.553680981595092,103
server_global,T,direction_points,50,derived_period,2010s,3262,4464,0.7307347670250897,1288,2232,0.5770609318996416,130
server_global,T,direction_points,50,derived_period,2020s,5561,6672,0.8334832134292566,2445,3336,0.7329136690647482,194
server_global,T,direction_points,100,overall,Overall,10291,15048,0.6838782562466773,3743,7524,0.49747474747474746,211
server_global,T,direction_points,100,surface,Hard,6801,9646,0.7050590918515447,2522,4823,0.522911051212938,200
server_global,T,direction_points,100,surface,Clay,2326,3744,0.6212606837606838,801,1872,0.42788461538461536,173
server_global,T,direction_points,100,surface,Grass,1164,1658,0.7020506634499397,420,829,0.5066344993968637,155
server_global,T,direction_points,100,derived_period,to_2009,2533,3912,0.6474948875255624,808,1956,0.4130879345603272,61
server_global,T,direction_points,100,derived_period,2010s,2788,4464,0.6245519713261649,968,2232,0.4336917562724014,86
server_global,T,direction_points,100,derived_period,2020s,4970,6672,0.7449040767386091,1967,3336,0.5896282973621103,145
server_global,T,direction_points,250,overall,Overall,7768,15048,0.5162147793726741,2129,7524,0.2829611908559277,127
server_global,T,direction_points,250,surface,Hard,5195,9646,0.5385652083765291,1460,4823,0.30271615177275557,126
server_global,T,direction_points,250,surface,Clay,1680,3744,0.44871794871794873,435,1872,0.23237179487179488,112
server_global,T,direction_points,250,surface,Grass,893,1658,0.5386007237635706,234,829,0.2822677925211098,95
server_global,T,direction_points,250,derived_period,to_2009,1890,3912,0.4831288343558282,420,1956,0.2147239263803681,35
server_global,T,direction_points,250,derived_period,2010s,2044,4464,0.4578853046594982,538,2232,0.2410394265232975,49
server_global,T,direction_points,250,derived_period,2020s,3834,6672,0.5746402877697842,1171,3336,0.35101918465227816,89
server_global,T,direction_matches,0,overall,Overall,15048,15048,1.0,7524,7524,1.0,1002
server_global,T,direction_matches,0,surface,Hard,9646,9646,1.0,4823,4823,1.0,753
server_global,T,direction_matches,0,surface,Clay,3744,3744,1.0,1872,1872,1.0,587
server_global,T,direction_matches,0,surface,Grass,1658,1658,1.0,829,829,1.0,359
server_global,T,direction_matches,0,derived_period,to_2009,3912,3912,1.0,1956,1956,1.0,357
server_global,T,direction_matches,0,derived_period,2010s,4464,4464,1.0,2232,2232,1.0,412
server_global,T,direction_matches,0,derived_period,2020s,6672,6672,1.0,3336,3336,1.0,470
server_global,T,direction_matches,1,overall,Overall,14025,15048,0.9320175438596491,6626,7524,0.880648591174907,599
server_global,T,direction_matches,1,surface,Hard,9096,9646,0.9429815467551317,4341,4823,0.9000622019489944,507
server_global,T,direction_matches,1,surface,Clay,3388,3744,0.9049145299145299,1564,1872,0.8354700854700855,407
server_global,T,direction_matches,1,surface,Grass,1541,1658,0.9294330518697226,721,829,0.8697225572979493,289
server_global,T,direction_matches,1,derived_period,to_2009,3548,3912,0.9069529652351738,1612,1956,0.8241308793456033,192
server_global,T,direction_matches,1,derived_period,2010s,4107,4464,0.9200268817204301,1936,2232,0.8673835125448028,263
server_global,T,direction_matches,1,derived_period,2020s,6370,6672,0.954736211031175,3078,3336,0.9226618705035972,334
server_global,T,direction_matches,3,overall,Overall,12933,15048,0.8594497607655502,5744,7524,0.7634237107921319,397
server_global,T,direction_matches,3,surface,Hard,8483,9646,0.8794318888658511,3830,4823,0.79411154882853,367
server_global,T,direction_matches,3,surface,Clay,3039,3744,0.811698717948718,1303,1872,0.6960470085470085,297
server_global,T,direction_matches,3,surface,Grass,1411,1658,0.8510253317249699,611,829,0.7370325693606755,237
server_global,T,direction_matches,3,derived_period,to_2009,3200,3912,0.8179959100204499,1311,1956,0.6702453987730062,123
server_global,T,direction_matches,3,derived_period,2010s,3710,4464,0.8310931899641577,1622,2232,0.7267025089605734,181
server_global,T,direction_matches,3,derived_period,2020s,6023,6672,0.9027278177458034,2811,3336,0.8426258992805755,242
server_global,T,direction_matches,5,overall,Overall,12172,15048,0.8088782562466773,5159,7524,0.685672514619883,325
server_global,T,direction_matches,5,surface,Hard,8033,9646,0.8327804271200497,3466,4823,0.7186398507153224,310
server_global,T,direction_matches,5,surface,Clay,2811,3744,0.750801282051282,1144,1872,0.6111111111111112,252
server_global,T,direction_matches,5,surface,Grass,1328,1658,0.8009650180940893,549,829,0.6622436670687576,205
server_global,T,direction_matches,5,derived_period,to_2009,2965,3912,0.7579243353783232,1124,1956,0.5746421267893661,100
server_global,T,direction_matches,5,derived_period,2010s,3434,4464,0.7692652329749103,1423,2232,0.6375448028673835,146
server_global,T,direction_matches,5,derived_period,2020s,5773,6672,0.865257793764988,2612,3336,0.7829736211031175,213
server_global,T,direction_matches,10,overall,Overall,10721,15048,0.7124534821903243,4043,7524,0.5373471557682084,235
server_global,T,direction_matches,10,surface,Hard,7093,9646,0.7353307070288202,2723,4823,0.5645863570391872,223
server_global,T,direction_matches,10,surface,Clay,2437,3744,0.6509081196581197,883,1872,0.4716880341880342,190
server_global,T,direction_matches,10,surface,Grass,1191,1658,0.718335343787696,437,829,0.5271411338962606,159
server_global,T,direction_matches,10,derived_period,to_2009,2531,3912,0.6469836400817995,800,1956,0.40899795501022496,64
server_global,T,direction_matches,10,derived_period,2010s,2952,4464,0.6612903225806451,1070,2232,0.47939068100358423,96
server_global,T,direction_matches,10,derived_period,2020s,5238,6672,0.7850719424460432,2173,3336,0.651378896882494,163
server_global,T,direction_matches,20,overall,Overall,8803,15048,0.5849946836788942,2764,7524,0.36735778841042,154
server_global,T,direction_matches,20,surface,Hard,5865,9646,0.6080240514202778,1888,4823,0.39145759900476884,149
server_global,T,direction_matches,20,surface,Clay,1959,3744,0.5232371794871795,592,1872,0.3162393162393162,141
server_global,T,direction_matches,20,surface,Grass,979,1658,0.5904704463208685,284,829,0.3425814234016888,113
server_global,T,direction_matches,20,derived_period,to_2009,2035,3912,0.5201942740286298,499,1956,0.2551124744376278,41
server_global,T,direction_matches,20,derived_period,2010s,2362,4464,0.5291218637992832,701,2232,0.3140681003584229,57
server_global,T,direction_matches,20,derived_period,2020s,4406,6672,0.6603717026378897,1564,3336,0.46882494004796166,109
server_surface,wide,direction_points,0,overall,Overall,15048,15048,1.0,7524,7524,1.0,1002
server_surface,wide,direction_points,0,surface,Hard,9646,9646,1.0,4823,4823,1.0,753
server_surface,wide,direction_points,0,surface,Clay,3744,3744,1.0,1872,1872,1.0,587
server_surface,wide,direction_points,0,surface,Grass,1658,1658,1.0,829,829,1.0,359
server_surface,wide,direction_points,0,derived_period,to_2009,3912,3912,1.0,1956,1956,1.0,357
server_surface,wide,direction_points,0,derived_period,2010s,4464,4464,1.0,2232,2232,1.0,412
server_surface,wide,direction_points,0,derived_period,2020s,6672,6672,1.0,3336,3336,1.0,470
server_surface,wide,direction_points,10,overall,Overall,12831,15048,0.8526714513556619,5632,7524,0.7485380116959064,492
server_surface,wide,direction_points,10,surface,Hard,8625,9646,0.8941530167945262,3947,4823,0.8183703089363467,413
server_surface,wide,direction_points,10,surface,Clay,3013,3744,0.8047542735042735,1253,1872,0.6693376068376068,309
server_surface,wide,direction_points,10,surface,Grass,1193,1658,0.7195416164053076,432,829,0.5211097708082026,174
server_surface,wide,direction_points,10,derived_period,to_2009,3242,3912,0.8287321063394683,1347,1956,0.6886503067484663,157
server_surface,wide,direction_points,10,derived_period,2010s,3666,4464,0.821236559139785,1576,2232,0.7060931899641577,212
server_surface,wide,direction_points,10,derived_period,2020s,5923,6672,0.8877398081534772,2709,3336,0.8120503597122302,282
