aggregation_level,group_type,serve_number,surface,derived_period,validation_fold,shot_type_code,shot_type_description,shot_type_family,attempts,matches,servers,returners,returner_wins,returner_losses,returner_win_rate,wilson_95_lower,wilson_95_upper
code,surface,0,Grass,ALL,ALL,m,globo de revés,lob,427,215,125,133,62,365,0.14519906323185,0.114946211607043,0.181778850949897
code,surface,0,Hard,ALL,ALL,m,globo de revés,lob,1648,906,268,287,281,1367,0.170509708737864,0.153123669752629,0.189428247563133
code,surface,0,Clay,ALL,ALL,h,media volea de derecha,half_volley,2,2,2,2,0,2,0,0,0.657619772493347
code,surface,0,Grass,ALL,ALL,h,media volea de derecha,half_volley,2,2,2,2,1,1,0.5,0.0945312057342307,0.905468794265769
code,surface,0,Hard,ALL,ALL,h,media volea de derecha,half_volley,10,8,7,3,4,6,0.4,0.168180329706236,0.687326230266342
code,surface,0,Clay,ALL,ALL,i,media volea de revés,half_volley,1,1,1,1,0,1,0,0,0.793450685622763
code,surface,0,Grass,ALL,ALL,i,media volea de revés,half_volley,2,2,2,1,1,1,0.5,0.0945312057342307,0.905468794265769
code,surface,0,Hard,ALL,ALL,i,media volea de revés,half_volley,35,15,15,2,19,16,0.542857142857143,0.381897250684837,0.695339807115928
code,surface,0,Clay,ALL,ALL,j,volea liftada de derecha,swinging_volley,0,0,0,0,0,0,,,
code,surface,0,Grass,ALL,ALL,j,volea liftada de derecha,swinging_volley,0,0,0,0,0,0,,,
code,surface,0,Hard,ALL,ALL,j,volea liftada de derecha,swinging_volley,0,0,0,0,0,0,,,
code,surface,0,Clay,ALL,ALL,k,volea liftada de revés,swinging_volley,0,0,0,0,0,0,,,
code,surface,0,Grass,ALL,ALL,k,volea liftada de revés,swinging_volley,0,0,0,0,0,0,,,
code,surface,0,Hard,ALL,ALL,k,volea liftada de revés,swinging_volley,0,0,0,0,0,0,,,
code,surface,0,Clay,ALL,ALL,t,"golpe especial, incluido trick shot o tweener",special,2,2,2,2,1,1,0.5,0.0945312057342307,0.905468794265769
code,surface,0,Grass,ALL,ALL,t,"golpe especial, incluido trick shot o tweener",special,4,4,4,3,0,4,0,0,0.489890836454597
code,surface,0,Hard,ALL,ALL,t,"golpe especial, incluido trick shot o tweener",special,12,10,9,9,4,8,0.333333333333333,0.138120091091213,0.6093779111272
code,derived_period,0,ALL,2010s,ALL,f,"derecha, excluidos slices y golpes especiales",groundstroke,115294,2232,412,411,44175,71119,0.383150901174389,0.380348635068174,0.385960953566899
code,derived_period,0,ALL,2020s,ALL,f,"derecha, excluidos slices y golpes especiales",groundstroke,97950,1805,332,332,38534,59416,0.393404798366514,0.390349784339609,0.396468173088037
code,derived_period,0,ALL,to_2009,ALL,f,"derecha, excluidos slices y golpes especiales",groundstroke,116298,1956,357,357,44413,71885,0.381889628368502,0.379101261130115,0.384685797996313
code,derived_period,0,ALL,2010s,ALL,b,"revés, excluidos slices y golpes especiales",groundstroke,135860,2232,410,412,54682,81178,0.402487855145002,0.399882981162305,0.405098243308441
code,derived_period,0,ALL,2020s,ALL,b,"revés, excluidos slices y golpes especiales",groundstroke,118146,1805,331,332,48053,70093,0.40672557682867,0.403927627432157,0.409529591571546
code,derived_period,0,ALL,to_2009,ALL,b,"revés, excluidos slices y golpes especiales",groundstroke,130343,1956,354,355,52201,78142,0.400489477762519,0.397832346605542,0.403152474279471
code,derived_period,0,ALL,2010s,ALL,r,slice de derecha,slice,14014,1919,347,360,3999,10015,0.285357499643214,0.277940479898281,0.292892160942122
code,derived_period,0,ALL,2020s,ALL,r,slice de derecha,slice,14535,1614,296,294,4225,10310,0.290677674578603,0.283351848723683,0.298114114899695
code,derived_period,0,ALL,to_2009,ALL,r,slice de derecha,slice,9756,1464,253,273,2882,6874,0.295407954079541,0.286436912387033,0.304540050011046
code,derived_period,0,ALL,2010s,ALL,s,slice de revés,slice,40861,2190,387,388,11935,28926,0.292087809892073,0.287698519317441,0.296516189624432
code,derived_period,0,ALL,2020s,ALL,s,slice de revés,slice,22909,1735,309,306,5786,17123,0.252564494303549,0.246980059708076,0.25823189663636
code,derived_period,0,ALL,to_2009,ALL,s,slice de revés,slice,61174,1951,352,353,19918,41256,0.325595841370517,0.321893557378968,0.329320027618751
code,derived_period,0,ALL,2010s,ALL,v,volea de derecha,volley,7,7,6,7,4,3,0.571428571428571,0.250458364527657,0.84178014474853
code,derived_period,0,ALL,2020s,ALL,v,volea de derecha,volley,6,6,5,5,0,6,0,0,0.390334287902165
code,derived_period,0,ALL,to_2009,ALL,v,volea de derecha,volley,9,9,8,9,2,7,0.222222222222222,0.0632251071178467,0.547411030893011
code,derived_period,0,ALL,2010s,ALL,z,volea de revés,volley,0,0,0,0,0,0,,,
code,derived_period,0,ALL,2020s,ALL,z,volea de revés,volley,0,0,0,0,0,0,,,
code,derived_period,0,ALL,to_2009,ALL,z,volea de revés,volley,3,3,3,3,1,2,0.333333333333333,0.0614919447203962,0.792340399197952
code,derived_period,0,ALL,2010s,ALL,o,remate estándar,overhead,4,4,4,4,1,3,0.25,0.0455872608097005,0.699358157417598
code,derived_period,0,ALL,2020s,ALL,o,remate estándar,overhead,0,0,0,0,0,0,,,
code,derived_period,0,ALL,to_2009,ALL,o,remate estándar,overhead,1,1,1,1,1,0,1,0.206549314377237,1
code,derived_period,0,ALL,2010s,ALL,p,remate de revés,overhead,0,0,0,0,0,0,,,
code,derived_period,0,ALL,2020s,ALL,p,remate de revés,overhead,0,0,0,0,0,0,,,
code,derived_period,0,ALL,to_2009,ALL,p,remate de revés,overhead,0,0,0,0,0,0,,,
code,derived_period,0,ALL,2010s,ALL,u,dejada de derecha,drop_shot,41,36,27,24,12,29,0.292682926829268,0.176091876261134,0.444794677229972
code,derived_period,0,ALL,2020s,ALL,u,dejada de derecha,drop_shot,23,22,19,15,9,14,0.391304347826087,0.22157622792478,0.592144776086183
code,derived_period,0,ALL,to_2009,ALL,u,dejada de derecha,drop_shot,49,31,24,22,26,23,0.530612244897959,0.393808639836619,0.662964963068248
code,derived_period,0,ALL,2010s,ALL,y,dejada de revés,drop_shot,226,171,87,68,99,127,0.438053097345133,0.374937733872651,0.5032391618725
code,derived_period,0,ALL,2020s,ALL,y,dejada de revés,drop_shot,79,67,46,39,31,48,0.392405063291139,0.292128650575367,0.502660091172945
code,derived_period,0,ALL,to_2009,ALL,y,dejada de revés,drop_shot,239,169,76,56,107,132,0.447698744769874,0.385979211206615,0.511072963815694
code,derived_period,0,ALL,2010s,ALL,l,globo de derecha,lob,277,213,106,107,55,222,0.1985559566787,0.15584266080156,0.249515790542254
code,derived_period,0,ALL,2020s,ALL,l,globo de derecha,lob,517,308,146,139,85,432,0.164410058027079,0.134957684180162,0.198812709625107
code,derived_period,0,ALL,to_2009,ALL,l,globo de derecha,lob,199,171,63,78,46,153,0.231155778894472,0.178009096827636,0.29448532999176
code,derived_period,0,ALL,2010s,ALL,m,globo de revés,lob,856,492,157,176,153,703,0.178738317757009,0.154524650574828,0.205822545576487
code,derived_period,0,ALL,2020s,ALL,m,globo de revés,lob,1320,594,203,195,216,1104,0.163636363636364,0.144660341725332,0.184564472860057
code,derived_period,0,ALL,to_2009,ALL,m,globo de revés,lob,651,413,116,133,114,537,0.175115207373272,0.147848980280074,0.206193140446701
code,derived_period,0,ALL,2010s,ALL,h,media volea de derecha,half_volley,13,11,10,5,5,8,0.384615384615385,0.177097077977626,0.644771084873343
