scorer,fold,direction,selected_scope,n_points,n_matches,n_orientations,mean_score,observed_rate,calibration_gap,brier_score,log_loss,calibration_in_the_large,ece,max_calibration_error,eligible_target_points,scored_target_points,abstained_target_points,point_coverage,delta_brier_vs_population,delta_log_loss_vs_population,delta_ece_vs_population
server_only,2023,wide,global,2281,126,224,0.520038683145992,0.498903989478299,0.021134693667692994,0.24858199670884423,0.6903281201251351,0.021134693667692994,0.020603383631831826,0.11409929171317695,13692,10281,3411,0.7508764241893077,-0.0017746264468936346,-0.003532743593169796,0.018030719653350524
server_only,2023,body,surface,8382,370,722,0.5107144151827063,0.4952278692436173,0.015486545939089047,0.25077963668171777,0.6947313432695834,0.015486545939089047,0.020603383631831826,0.11409929171317695,13981,10678,3303,0.7637508046634719,0.0007555886822590563,0.001536159996069042,0.018030719653350524
server_only,2023,body,global,2296,124,222,0.4962213456023634,0.5135017421602788,-0.017280396557915356,0.2505907591477549,0.6943740537820259,-0.017280396557915356,0.020603383631831826,0.11409929171317695,13981,10678,3303,0.7637508046634719,0.0007449011685541351,0.0015351789302965324,0.018030719653350524
server_only,2023,T,surface,6131,361,695,0.5014263107932073,0.5111727287555048,-0.009746417962297471,0.25160411393485743,0.6964083822080949,-0.009746417962297471,0.020603383631831826,0.11409929171317695,10923,8209,2714,0.7515334615032501,0.0017287107741943974,0.0035104494161114497,0.018030719653350524
server_only,2023,T,global,2078,132,226,0.4962213239811459,0.49326275264677577,0.002958571334370108,0.2507724553411488,0.6947104728681238,0.002958571334370108,0.020603383631831826,0.11409929171317695,10923,8209,2714,0.7515334615032501,0.0006945810077851333,0.0014075391893293432,0.018030719653350524
opponent_only,2020,wide,surface,2654,106,211,0.5181941472771874,0.5041446872645065,0.014049460012680925,0.2508172142841327,0.6948433371845327,0.014049460012680925,0.03493404443983477,0.07927385214090032,4015,3088,927,0.7691158156911582,0.0006973252797902729,0.001456195353783829,0.01993372496059544
opponent_only,2020,wide,global,434,24,46,0.5236198450729744,0.49078341013824883,0.0328364349347256,0.2498239507104205,0.6927776070565977,0.0328364349347256,0.03493404443983477,0.07927385214090032,4015,3088,927,0.7691158156911582,-0.0008460061264478902,-0.0017102308257038734,0.01993372496059544
opponent_only,2020,body,surface,2905,109,209,0.5028309591663614,0.4939759036144578,0.008855055551903634,0.2519503194336436,0.6971034710766014,0.008855055551903634,0.03493404443983477,0.07927385214090032,4475,3340,1135,0.7463687150837989,0.0017749635285094767,0.0036055282334099825,0.01993372496059544
opponent_only,2020,body,global,435,23,35,0.5182801286452713,0.5172413793103449,0.0010387493349264254,0.25131106041152923,0.6958079893408488,0.0010387493349264254,0.03493404443983477,0.07927385214090032,4475,3340,1135,0.7463687150837989,0.0015450184936767197,0.0031287684554104356,0.01993372496059544
opponent_only,2020,T,surface,1834,106,196,0.5000611748831808,0.4830970556161396,0.016964119267041222,0.25133415780794127,0.6958350369817683,0.016964119267041222,0.03493404443983477,0.07927385214090032,2902,2183,719,0.7522398345968297,0.0011778299100426715,0.0023751924887265297,0.01993372496059544
