role,scope,direction,threshold_points,stratum_type,stratum,observed_rows,minimum_points,median_points,points_q1,points_q3,median_raw_rate,raw_rate_q1,raw_rate_q3,zero_rate_rows,one_rate_rows,zero_rate_share,one_rate_share,median_wilson_width,wilson_width_p90
server,global,body,50,overall,Overall,12168,50.0,500.0,198.0,1264.0,0.5145631067961165,0.48904638568401226,0.5373175753207319,0,0,0.0,0.0,0.08714021869905164,0.19516697485811352
server,global,body,50,surface,Hard,8017,50.0,528.0,206.0,1264.0,0.5154320987654321,0.4899817850637523,0.5363321799307958,0,0,0.0,0.0,0.08490443907209877,0.19233693926800877
server,global,body,50,surface,Clay,2816,50.0,412.0,170.75,1181.75,0.51,0.48271254056978,0.5380564182194616,0,0,0.0,0.0,0.09606856311080772,0.2044660496127711
server,global,body,50,surface,Grass,1335,50.0,529.0,218.0,1408.0,0.5178335535006605,0.4923490117760485,0.5394799439130653,0,0,0.0,0.0,0.08463850902740933,0.18725775813265355
server,global,body,50,derived_period,to_2009,2988,50.0,466.0,185.0,1059.25,0.5222830285262228,0.5,0.5416666666666666,0,0,0.0,0.0,0.09030263074046996,0.1995711065931039
server,global,body,50,derived_period,2010s,3405,50.0,441.0,179.0,1714.0,0.518324607329843,0.4880952380952381,0.5449101796407185,0,0,0.0,0.0,0.09282254201696649,0.201979889777669
server,global,body,50,derived_period,2020s,5775,50.0,568.0,218.0,1264.0,0.509009009009009,0.4861575530273709,0.5305857942750458,0,0,0.0,0.0,0.0818141135484895,0.18865035234853492
server,global,body,100,overall,Overall,10860,100.0,612.0,272.0,1394.0,0.5165081781099925,0.4914879368004368,0.5373822832927531,0,0,0.0,0.0,0.07891020504864305,0.15447129000435883
server,global,body,100,surface,Hard,7206,100.0,633.0,281.0,1390.0,0.5172327715323566,0.4923373318110408,0.5363960649110732,0,0,0.0,0.0,0.07750698330740355,0.15304554906707174
server,global,body,100,surface,Clay,2437,100.0,546.0,247.0,1348.0,0.5122684026039058,0.4871447902571042,0.5383530738860688,0,0,0.0,0.0,0.08337763541731424,0.15828712484095667
server,global,body,100,surface,Grass,1217,100.0,607.0,279.0,1495.0,0.52,0.49523809523809526,0.5394862036156042,0,0,0.0,0.0,0.07912863765658784,0.1538717994653314
server,global,body,100,derived_period,to_2009,2633,100.0,568.0,271.0,1162.0,0.5239520958083832,0.5041009463722398,0.5418994413407822,0,0,0.0,0.0,0.0817443057848895,0.15600849765802538
server,global,body,100,derived_period,2010s,2999,100.0,555.0,248.0,1996.0,0.5223880597014925,0.49114169795747553,0.5450296187195789,0,0,0.0,0.0,0.08286276046470364,0.15696065861979405
server,global,body,100,derived_period,2020s,5228,100.0,668.0,287.0,1352.25,0.5099458846120275,0.487970957857258,0.5305721516370299,0,0,0.0,0.0,0.0755794738006417,0.15126639757775306
server,global,body,250,overall,Overall,8425,250.0,886.0,467.0,1743.0,0.5208140610545791,0.4956268221574344,0.5391304347826087,0,0,0.0,0.0,0.06552283220956001,0.10825644171074113
server,global,body,250,surface,Hard,5643,250.0,886.0,474.0,1717.0,0.5206896551724138,0.49605733956622255,0.537984302258474,0,0,0.0,0.0,0.06553309501427385,0.10766242311370894
server,global,body,250,surface,Clay,1824,250.0,882.5,434.0,1790.25,0.5198729281494356,0.4930041189764526,0.5417057790765035,0,0,0.0,0.0,0.06582591965142501,0.11051520565471226
server,global,body,250,surface,Grass,958,251.0,926.0,472.5,1929.25,0.5235644374223483,0.5,0.5409767901571181,0,0,0.0,0.0,0.06425937217643388,0.1080636459626215
server,global,body,250,derived_period,to_2009,2045,250.0,778.0,442.0,1388.0,0.5256410256410257,0.5075593952483801,0.5416666666666666,0,0,0.0,0.0,0.07002863641328055,0.10931485450225419
server,global,body,250,derived_period,2010s,2245,250.0,987.0,448.0,2648.0,0.5296803652968036,0.4953810623556582,0.5511932255581217,0,0,0.0,0.0,0.06216891548214892,0.10929216293238492
server,global,body,250,derived_period,2020s,4135,250.0,916.0,490.0,1609.0,0.5127272727272727,0.49137931034482757,0.5318136681223943,0,0,0.0,0.0,0.06454239700492526,0.10724693797248719
server,global,T,0,overall,Overall,14025,1.0,309.0,90.0,890.0,0.5063291139240507,0.4722222222222222,0.5408348457350273,41,28,0.0029233511586452764,0.0019964349376114083,0.11045418431650211,0.341828879653218
server,global,T,0,surface,Hard,9096,1.0,328.0,98.0,907.25,0.5063291139240507,0.47323314889336016,0.5405908464528771,23,20,0.0025285839929639403,0.0021987686895338612,0.10744630734859278,0.3193538684176573
server,global,T,0,surface,Clay,3388,1.0,244.5,65.0,777.0,0.502640918742154,0.4666666666666667,0.5389234154832899,17,6,0.005017709563164109,0.0017709563164108619,0.12392570566701344,0.3898347670531732
server,global,T,0,surface,Grass,1541,2.0,347.0,105.0,965.0,0.5123339658444023,0.4777777777777778,0.5454545454545454,1,2,0.0006489292667099286,0.0012978585334198572,0.10444907816101495,0.3403886876599189
server,global,T,0,derived_period,to_2009,3548,1.0,285.0,80.0,792.0,0.520840453406243,0.4847272533560622,0.546557021898698,9,3,0.002536640360766629,0.0008455467869222097,0.11496747737487809,0.3487891338495245
server,global,T,0,derived_period,2010s,4107,1.0,248.0,66.5,918.5,0.5,0.46578269523475,0.5411194297251297,22,9,0.005356708059410762,0.002191380569758948,0.12331103991316839,0.3946119668649299
server,global,T,0,derived_period,2020s,6370,1.0,360.0,121.0,922.0,0.5031847133757962,0.47191011235955055,0.5347553193208072,10,16,0.0015698587127158557,0.002511773940345369,0.10237382666738051,0.29863666122756405
server,global,T,10,overall,Overall,13557,10.0,330.0,105.0,918.0,0.5067484662576687,0.4735376044568245,0.5402985074626866,0,0,0.0,0.0,0.10685599369725729,0.2995166034018425
server,global,T,10,surface,Hard,8842,10.0,347.0,111.0,926.0,0.5066666666666667,0.4745762711864407,0.5402416971728488,0,0,0.0,0.0,0.10448825843346826,0.285733018235642
server,global,T,10,surface,Clay,3218,10.0,272.5,85.0,826.0,0.503493452446332,0.46890793540389397,0.5380403836888441,0,0,0.0,0.0,0.11771155344400125,0.3276222231413696
server,global,T,10,surface,Grass,1497,10.0,361.0,119.0,998.0,0.5131578947368421,0.4789915966386555,0.5454545454545454,0,0,0.0,0.0,0.10204941918576416,0.2956716778062863
server,global,T,10,derived_period,to_2009,3434,10.0,303.0,92.25,811.75,0.5213579179871315,0.48742121848739495,0.5463071980929124,0,0,0.0,0.0,0.11164931230233446,0.31051349180746346
server,global,T,10,derived_period,2010s,3914,10.0,273.0,82.0,995.5,0.5,0.46818470969234327,0.5405405405405406,0,0,0.0,0.0,0.11759404746501531,0.33189352989553894
server,global,T,10,derived_period,2020s,6209,10.0,376.0,136.0,938.0,0.5034013605442177,0.4724137931034483,0.5335689045936396,0,0,0.0,0.0,0.10025125105089638,0.26957325949226174
server,global,T,25,overall,Overall,12752,25.0,369.0,135.0,967.0,0.5077304430112227,0.47607645577122537,0.5398613666791977,0,0,0.0,0.0,0.10119170024150018,0.24819606512314027
server,global,T,25,surface,Hard,8373,25.0,384.0,142.0,975.0,0.5077081192189106,0.4766355140186916,0.5397448478900884,0,0,0.0,0.0,0.0991131915204293,0.24181964950472168
server,global,T,25,surface,Clay,2974,25.0,317.0,116.25,926.0,0.5052088985349973,0.4717793631100083,0.5375,0,0,0.0,0.0,0.10918199293691602,0.26988856112946463
server,global,T,25,surface,Grass,1405,25.0,401.0,148.0,1033.0,0.5138339920948617,0.48154981549815495,0.5436893203883495,0,0,0.0,0.0,0.09718883901448705,0.24104718078678633
server,global,T,25,derived_period,to_2009,3215,25.0,341.0,121.5,865.0,0.5222222222222223,0.49125521181375825,0.5461692925548347,0,0,0.0,0.0,0.10499397162184054,0.2584620082563207
server,global,T,25,derived_period,2010s,3600,25.0,328.0,111.0,1098.5,0.5,0.4719766119226524,0.5402868510812131,0,0,0.0,0.0,0.10730279915914298,0.25957675243097544
server,global,T,25,derived_period,2020s,5937,25.0,405.0,161.0,969.0,0.5038759689922481,0.4740484429065744,0.5327210103329506,0,0,0.0,0.0,0.09665107145744556,0.23196836627363826
server,global,T,50,overall,Overall,11738,50.0,426.5,179.0,1053.0,0.508836371875976,0.4782608695652174,0.539906103286385,0,0,0.0,0.0,0.09419970047264292,0.20268783212502917
server,global,T,50,surface,Hard,7771,50.0,440.0,183.0,1061.5,0.508557457212714,0.4785241248817408,0.539670196746402,0,0,0.0,0.0,0.09285928414790945,0.20310430167751092
server,global,T,50,surface,Clay,2658,50.0,380.0,169.0,995.0,0.5072011671214691,0.47540983606557374,0.5384615384615384,0,0,0.0,0.0,0.09975701320441868,0.20275660359147654
server,global,T,50,surface,Grass,1309,50.0,463.0,184.0,1075.0,0.5149812734082397,0.48331539289558667,0.5433070866141733,0,0,0.0,0.0,0.09054706833919418,0.1968068561885224
