fold,surface,rank,direction,comparison_scope,orientations,direction_share,mean_score,median_score,mean_score_gap_from_rank_1,median_score_gap_from_rank_1,observed_points,observed_server_wins,observed_win_rate
2021,Grass,3,wide,global,2,0.06451612903225806,0.49363287687541346,0.49363287687541346,0.022630214959840994,0.022630214959840994,8,2,0.25
2021,Grass,3,body,global,11,0.3548387096774194,0.48724827649528546,0.49588516971034224,0.053850704347838875,0.05493213534761854,188,89,0.4734042553191489
2021,Grass,3,T,global,18,0.5806451612903226,0.4825615501019379,0.483314631786204,0.045954426137254915,0.04362023262950582,226,115,0.5088495575221239
2022,<ALL>,1,wide,surface,335,0.5098934550989346,0.5352025193240836,0.5340242198416395,0.0,0.0,3588,1897,0.5287068004459309
2022,<ALL>,1,body,surface,198,0.3013698630136986,0.5224258515236794,0.5204517928084743,0.0,0.0,2051,1025,0.499756216479766
2022,<ALL>,1,T,surface,124,0.1887366818873668,0.5222026709521066,0.5212718653895124,0.0,0.0,1066,548,0.5140712945590994
2022,<ALL>,1,wide,global,71,0.4329268292682927,0.5319612075283529,0.5309709299206637,0.0,0.0,735,382,0.5197278911564626
2022,<ALL>,1,body,global,56,0.34146341463414637,0.5319203370759069,0.5304546387804049,0.0,0.0,780,402,0.5153846153846153
2022,<ALL>,1,T,global,37,0.22560975609756098,0.5284886958713068,0.5240484513986223,0.0,0.0,277,148,0.5342960288808665
2022,<ALL>,2,wide,surface,218,0.3318112633181126,0.5045055180115813,0.5051328639464554,0.01864461511860107,0.015644162125017402,2153,1090,0.5062703204830469
2022,<ALL>,2,body,surface,233,0.3546423135464231,0.508586250938421,0.5087890625,0.021160624787246778,0.01721155323633794,2447,1224,0.5002043318348999
2022,<ALL>,2,T,surface,206,0.3135464231354642,0.5102097777450711,0.5095416454540311,0.023812274229964354,0.02047646912461512,1851,940,0.5078336034575905
2022,<ALL>,2,wide,global,59,0.3597560975609756,0.5051064862055921,0.5048174157303371,0.025770845053396007,0.022211504430430518,501,259,0.5169660678642715
2022,<ALL>,2,body,global,57,0.3475609756097561,0.5029369949424304,0.5079785812482227,0.0259366700463057,0.025333389891010194,756,384,0.5079365079365079
2022,<ALL>,2,T,global,48,0.2926829268292683,0.5070372700483406,0.5101441238566007,0.027198248896741477,0.021792367594707818,407,218,0.5356265356265356
2022,<ALL>,3,wide,surface,104,0.1582952815829528,0.48682991075568766,0.48437029565223144,0.0338116351805619,0.028975715481640962,1011,508,0.5024727992087042
2022,<ALL>,3,body,surface,226,0.3439878234398782,0.488460532730024,0.49083068090685356,0.04523395013523532,0.04109880203526084,2157,1121,0.5197032916087158
2022,<ALL>,3,T,surface,327,0.4977168949771689,0.48016559609259135,0.48147190008920604,0.048044250599760814,0.04395120509035111,2862,1462,0.5108315863032844
2022,<ALL>,3,wide,global,34,0.2073170731707317,0.47900852017817974,0.4763711042683735,0.05098730568090354,0.04344710508819455,386,179,0.4637305699481865
2022,<ALL>,3,body,global,51,0.31097560975609756,0.4875947495160584,0.48972357159380064,0.045297967687734864,0.04101780002483413,478,266,0.5564853556485355
2022,<ALL>,3,T,global,79,0.4817073170731707,0.47262334860752586,0.4781836892204785,0.057927027359561574,0.05446646433900093,688,347,0.5043604651162791
2022,Hard,1,wide,surface,252,0.5185185185185185,0.5364349450820965,0.5363395079505189,0.0,0.0,2625,1389,0.5291428571428571
2022,Hard,1,body,surface,160,0.3292181069958848,0.519032281577444,0.5182899524423136,0.0,0.0,1738,850,0.4890678941311853
2022,Hard,1,T,surface,74,0.1522633744855967,0.5225845419600671,0.5212634673046308,0.0,0.0,602,293,0.4867109634551495
2022,Hard,1,wide,global,20,0.425531914893617,0.5223449907686787,0.5210388704687523,0.0,0.0,170,82,0.4823529411764706
2022,Hard,1,body,global,13,0.2765957446808511,0.5475293838548185,0.5372340425531915,0.0,0.0,175,83,0.4742857142857143
2022,Hard,1,T,global,14,0.2978723404255319,0.5216205790938455,0.5134955172334423,0.0,0.0,94,41,0.43617021276595747
2022,Hard,2,wide,surface,155,0.31893004115226337,0.5016158867811261,0.5035087719298246,0.01847360005225817,0.015492313327132357,1449,740,0.5106970324361628
2022,Hard,2,body,surface,165,0.3395061728395062,0.5098080353401578,0.5115399216579524,0.020672087306590783,0.01626963005518811,1803,907,0.5030504714364947
2022,Hard,2,T,surface,166,0.34156378600823045,0.5111109994190851,0.5106720379969324,0.02355729348595265,0.021050994175422277,1451,734,0.5058580289455548
2022,Hard,2,wide,global,21,0.44680851063829785,0.4994701757248463,0.4871901187150838,0.02830315477462052,0.024269887720974714,151,80,0.5298013245033113
2022,Hard,2,body,global,16,0.3404255319148936,0.484617048579296,0.48674004204234506,0.03083045101716704,0.027181634090962192,207,102,0.4927536231884058
2022,Hard,2,T,global,10,0.2127659574468085,0.5155400208981604,0.5120952714675682,0.038166976978623465,0.025516578038005222,93,48,0.5161290322580645
2022,Hard,3,wide,surface,79,0.16255144032921812,0.48691066890643403,0.48452341958729117,0.03337478297029315,0.02892415417617028,747,384,0.5140562248995983
2022,Hard,3,body,surface,161,0.33127572016460904,0.49259153051473054,0.49308435826076547,0.04358015910651038,0.03740965810719343,1582,838,0.5297092288242731
2022,Hard,3,T,surface,246,0.5061728395061729,0.480845226111282,0.4821080656449336,0.04546304458320216,0.040662494378914865,2115,1071,0.5063829787234042
2022,Hard,3,wide,global,6,0.1276595744680851,0.4797538849753191,0.4834553380897292,0.0764678078476266,0.06884566691573452,65,25,0.38461538461538464
2022,Hard,3,body,global,18,0.3829787234042553,0.4810131912779822,0.4859080634628963,0.046899471452240174,0.04157085897511231,138,78,0.5652173913043478
2022,Hard,3,T,global,23,0.48936170212765956,0.4524833924118939,0.46129751219806037,0.07046060005412255,0.07455957734594243,145,72,0.496551724137931
2022,Clay,1,wide,surface,76,0.4935064935064935,0.527463992170128,0.5282006131742629,0.0,0.0,891,466,0.5230078563411896
2022,Clay,1,body,surface,32,0.2077922077922078,0.5297217618029676,0.527449376966964,0.0,0.0,239,130,0.5439330543933054
2022,Clay,1,T,surface,46,0.2987012987012987,0.5187381891398755,0.5201142364810185,0.0,0.0,410,226,0.551219512195122
